date,season,league,home_team,away_team,market,model_prob,break_even_odds,benchmark_odds,profit_benchmark
2021-10-31,2122,Ligue 1,Bordeaux,Reims,BTTS_NO,0.30000000000000004,3.333333333333333,3.174603174603174,-1.0
2021-10-31,2122,Ligue 1,Brest,Monaco,OVER25,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-10-31,2122,Ligue 1,Brest,Monaco,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-10-31,2122,Ligue 1,Brest,Monaco,BTTS_YES,0.75,1.3333333333333333,1.2698412698412698,-1.0
2021-10-31,2122,Ligue 1,Brest,Monaco,BTTS_NO,0.25,4.0,3.8095238095238093,2.8095238095238093
2021-10-31,2122,Ligue 1,Clermont,Marseille,OVER25,0.5,2.0,1.9047619047619047,-1.0
2021-10-31,2122,Ligue 1,Clermont,Marseille,UNDER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-31,2122,Ligue 1,Clermont,Marseille,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,-1.0
2021-10-31,2122,Ligue 1,Clermont,Marseille,BTTS_NO,0.44999999999999996,2.2222222222222223,2.1164021164021167,1.1164021164021167
2021-10-31,2122,Ligue 1,Montpellier,Nantes,OVER25,0.45,2.2222222222222223,2.1164021164021163,-1.0
2021-10-31,2122,Ligue 1,Montpellier,Nantes,UNDER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-31,2122,Ligue 1,Montpellier,Nantes,BTTS_YES,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-10-31,2122,Ligue 1,Montpellier,Nantes,BTTS_NO,0.4,2.5,2.380952380952381,1.380952380952381
2021-10-31,2122,Ligue 1,Strasbourg,Lorient,OVER25,0.5,2.0,1.9047619047619047,0.9047619047619047
2021-10-31,2122,Ligue 1,Strasbourg,Lorient,UNDER25,0.5,2.0,1.9047619047619047,-1.0
2021-10-31,2122,Ligue 1,Strasbourg,Lorient,BTTS_YES,0.7,1.4285714285714286,1.3605442176870748,-1.0
2021-10-31,2122,Ligue 1,Strasbourg,Lorient,BTTS_NO,0.30000000000000004,3.333333333333333,3.174603174603174,2.174603174603174
2021-10-31,2122,Ligue 1,Troyes,Rennes,OVER25,0.25,4.0,3.8095238095238093,2.8095238095238093
2021-10-31,2122,Ligue 1,Troyes,Rennes,UNDER25,0.75,1.3333333333333333,1.2698412698412698,-1.0
2021-10-31,2122,Ligue 1,Troyes,Rennes,BTTS_YES,0.4,2.5,2.380952380952381,1.380952380952381
2021-10-31,2122,Ligue 1,Troyes,Rennes,BTTS_NO,0.6,1.6666666666666667,1.5873015873015872,-1.0
2021-10-31,2122,Serie A,Fiorentina,Spezia,OVER25,0.75,1.3333333333333333,1.2698412698412698,0.26984126984126977
2021-10-31,2122,Serie A,Fiorentina,Spezia,UNDER25,0.25,4.0,3.8095238095238093,-1.0
2021-10-31,2122,Serie A,Fiorentina,Spezia,BTTS_YES,0.7,1.4285714285714286,1.3605442176870748,-1.0
2021-10-31,2122,Serie A,Fiorentina,Spezia,BTTS_NO,0.30000000000000004,3.333333333333333,3.174603174603174,2.174603174603174
2021-10-31,2122,Serie A,Genoa,Venezia,OVER25,0.65,1.5384615384615383,1.4652014652014649,-1.0
2021-10-31,2122,Serie A,Genoa,Venezia,UNDER25,0.35,2.857142857142857,2.7210884353741496,1.7210884353741496
2021-10-31,2122,Serie A,Genoa,Venezia,BTTS_YES,0.7,1.4285714285714286,1.3605442176870748,-1.0
2021-10-31,2122,Serie A,Genoa,Venezia,BTTS_NO,0.30000000000000004,3.333333333333333,3.174603174603174,2.174603174603174
2021-10-31,2122,Serie A,Inter,Udinese,OVER25,0.6000000000000001,1.6666666666666665,1.587301587301587,-1.0
2021-10-31,2122,Serie A,Inter,Udinese,UNDER25,0.3999999999999999,2.5000000000000004,2.3809523809523814,1.3809523809523814
2021-10-31,2122,Serie A,Inter,Udinese,BTTS_YES,0.65,1.5384615384615383,1.4652014652014649,-1.0
2021-10-31,2122,Serie A,Inter,Udinese,BTTS_NO,0.35,2.857142857142857,2.7210884353741496,1.7210884353741496
2021-10-31,2122,Serie A,Roma,Milan,OVER25,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
2021-10-31,2122,Serie A,Roma,Milan,UNDER25,0.44999999999999996,2.2222222222222223,2.1164021164021167,-1.0
2021-10-31,2122,Serie A,Roma,Milan,BTTS_YES,0.55,1.8181818181818181,1.7316017316017311,0.7316017316017311
