season,date,league,home_team,away_team,selection,model_probability,market_probability,edge,reference_odds,odds_source,profit_units
2122,2022-02-05,Bundesliga,Augsburg,Union Berlin,OVER25,0.5,0.47258485639686687,0.02741514360313313,2.02,Media mercato Football-Data,-1.0
2122,2022-02-05,Bundesliga,Bielefeld,M'gladbach,OVER25,0.55,0.53125,0.018750000000000044,1.8,Media mercato Football-Data,-1.0
2122,2022-02-05,Bundesliga,FC Koln,Freiburg,OVER25,0.6499999999999999,0.5607235142118864,0.08927648578811354,1.7,Media mercato Football-Data,-1.0
2122,2022-02-05,Bundesliga,Mainz,Hoffenheim,OVER25,0.6499999999999999,0.5581395348837209,0.09186046511627899,1.71,Media mercato Football-Data,-1.0
2122,2022-02-05,Bundesliga,Stuttgart,Ein Frankfurt,UNDER25,0.5,0.46354166666666663,0.03645833333333337,2.06,Media mercato Football-Data,-1.0
2122,2022-02-05,Bundesliga,Bayern Munich,RB Leipzig,OVER25,0.7,0.6935123042505593,0.006487695749440636,1.37,Media mercato Football-Data,0.3700000000000001
2122,2022-02-06,Bundesliga,Dortmund,Leverkusen,OVER25,0.8500000000000001,0.6891891891891893,0.16081081081081083,1.38,Media mercato Football-Data,0.3799999999999999
2122,2022-02-06,Bundesliga,Wolfsburg,Greuther Furth,OVER25,0.6,0.5065274151436031,0.09347258485639687,1.89,Media mercato Football-Data,0.8899999999999999
2122,2022-02-11,Bundesliga,RB Leipzig,FC Koln,UNDER25,0.5,0.35748792270531404,0.14251207729468596,2.66,Media mercato Football-Data,-1.0
2122,2022-02-12,Bundesliga,Bochum,Bayern Munich,UNDER25,0.4,0.252988047808765,0.14701195219123503,3.75,Media mercato Football-Data,-1.0
2122,2022-02-12,Bundesliga,Ein Frankfurt,Wolfsburg,OVER25,0.6,0.5026178010471204,0.09738219895287958,1.9,Media mercato Football-Data,-1.0
2122,2022-02-12,Bundesliga,Freiburg,Mainz,OVER25,0.6,0.4830287206266319,0.1169712793733681,1.98,Media mercato Football-Data,-1.0
