target,league,selection,min_edge,min_odds,max_odds,bets,profit_units,roi,hit_rate,avg_odds,tested_seasons,positive_seasons,worst_season_roi
OU25,Greece Super League,TUTTI,0.07,2.0,,229,32.379999999999995,0.14139737991266374,0.5065502183406113,2.3163755458515287,3,3,0.04189873417721519
OU25,Greece Super League,OVER25,0.03,2.0,3.0,234,32.53,0.13901709401709403,0.5042735042735043,2.264145299145299,3,3,0.08975903614457832
OU25,Greece Super League,TUTTI,0.05,1.65,2.5,377,52.36999999999999,0.1389124668435013,0.5517241379310345,2.07631299734748,3,3,0.022213114754098352
OU25,Greece Super League,TUTTI,0.05,1.8,2.5,335,46.3,0.13820895522388058,0.5373134328358209,2.120328358208955,3,3,0.08327102803738319
OU25,Greece Super League,OVER25,0.03,2.0,2.5,209,28.25,0.13516746411483255,0.5119617224880383,2.2158851674641147,3,3,0.08303030303030301
OU25,Greece Super League,TUTTI,0.12,2.0,4.0,126,16.5,0.13095238095238096,0.5,2.3223809523809518,3,3,0.12170731707317069
OU25,Greece Super League,OVER25,0.03,2.0,4.0,236,30.529999999999998,0.12936440677966102,0.5,2.2716525423728813,3,3,0.06411764705882354
OU25,Greece Super League,OVER25,0.03,2.0,,236,30.529999999999998,0.12936440677966102,0.5,2.2716525423728813,3,3,0.06411764705882354
OU25,Greece Super League,TUTTI,0.12,1.8,3.0,157,19.919999999999998,0.12687898089171973,0.5159235668789809,2.2129299363057324,3,3,0.026538461538461535
OU25,Turkey Super Lig,UNDER25,0.03,1.65,2.0,136,17.220000000000002,0.12661764705882356,0.6029411764705882,1.8749264705882354,3,3,0.03229508196721311
OU25,England National League,OVER25,0.05,1.65,2.2,130,16.09,0.12376923076923077,0.5923076923076923,1.9115384615384616,3,3,0.02137931034482753
OU25,Greece Super League,TUTTI,0.12,1.35,3.0,172,21.179999999999996,0.12313953488372091,0.5290697674418605,2.164593023255814,3,3,0.020925925925925924
OU25,Greece Super League,TUTTI,0.12,2.0,,127,15.5,0.1220472440944882,0.49606299212598426,2.346771653543307,3,3,0.11208333333333335
OU25,Greece Super League,TUTTI,0.05,1.35,2.5,405,49.260000000000005,0.12162962962962964,0.5530864197530864,2.0410370370370368,3,3,0.007615384615384597
OU25,Greece Super League,TUTTI,0.12,1.5,3.0,171,20.769999999999996,0.12146198830409355,0.5263157894736842,2.1690058479532164,3,3,0.020925925925925924
OU25,Greece Super League,TUTTI,0.09,1.35,3.0,260,31.41,0.12080769230769231,0.5307692307692308,2.147384615384615,3,3,0.014146341463414619
OU25,Greece Super League,TUTTI,0.09,1.8,3.0,235,28.379999999999992,0.12076595744680847,0.5148936170212766,2.198127659574468,3,3,0.03506172839506174
OU25,Greece Super League,OVER25,0.03,1.65,3.0,325,39.16,0.12049230769230768,0.5261538461538462,2.152553846153846,3,3,0.03784313725490192
OU25,Greece Super League,TUTTI,0.05,2.0,3.0,274,32.93999999999999,0.12021897810218975,0.5,2.2693795620437953,3,3,0.08097826086956521
OU25,Greece Super League,TUTTI,0.05,1.5,2.5,403,48.36,0.12,0.5508684863523573,2.0439702233250623,3,3,0.007615384615384597
OU25,Greece Super League,TUTTI,0.09,1.5,3.0,259,31.0,0.11969111969111969,0.528957528957529,2.1502316602316607,3,3,0.014146341463414619
OU25,Greece Super League,TUTTI,0.09,1.65,3.0,251,29.510000000000005,0.11756972111553787,0.5219123505976095,2.1683665338645417,3,3,0.007160493827160467
OU25,Greece Super League,OVER25,0.05,1.65,2.2,163,19.129999999999995,0.11736196319018402,0.5705521472392638,1.9836809815950918,3,3,0.06333333333333332
OU25,Greece Super League,OVER25,0.03,1.65,2.5,300,34.879999999999995,0.11626666666666666,0.5333333333333333,2.109633333333333,3,3,0.02223529411764703
OU25,Greece Super League,OVER25,0.05,1.35,2.2,176,20.119999999999994,0.11431818181818178,0.5795454545454546,1.9527272727272729,3,3,0.048421052631578955
OU25,Greece Super League,TUTTI,0.12,1.65,3.0,165,18.799999999999997,0.11393939393939392,0.5151515151515151,2.189818181818182,3,3,0.020925925925925924
OU25,Greece Super League,OVER25,0.03,1.65,4.0,327,37.16,0.11363914373088684,0.5229357798165137,2.158654434250764,3,3,0.017884615384615363
OU25,Greece Super League,OVER25,0.03,1.65,,327,37.16,0.11363914373088684,0.5229357798165137,2.158654434250764,3,3,0.017884615384615363
OU25,Greece Super League,OVER25,0.05,1.5,2.2,175,19.709999999999997,0.11262857142857141,0.5771428571428572,1.9558285714285712,3,3,0.048421052631578955
OU25,Greece Super League,OVER25,0.03,1.5,3.0,342,37.86,0.11070175438596491,0.5292397660818714,2.1241520467836255,3,3,0.03288461538461537
OU25,Turkey Super Lig,UNDER25,0.03,1.35,2.0,138,15.219999999999999,0.11028985507246376,0.5942028985507246,1.871086956521739,3,3,0.01564516129032258
OU25,Turkey Super Lig,UNDER25,0.03,1.5,2.0,138,15.219999999999999,0.11028985507246376,0.5942028985507246,1.871086956521739,3,3,0.01564516129032258
OU25,Scotland League One,TUTTI,0.12,1.35,2.5,130,14.259999999999998,0.10969230769230767,0.5615384615384615,2.0135384615384613,3,3,0.070625
OU25,Greece Super League,OVER25,0.03,1.35,3.0,344,37.269999999999996,0.10834302325581394,0.5290697674418605,2.1201453488372093,3,3,0.023047619047619046
OU25,Greece Super League,TUTTI,0.09,1.35,4.0,263,28.410000000000004,0.10802281368821294,0.5247148288973384,2.161102661596958,3,3,0.001927710843373469
OU25,Scotland League One,TUTTI,0.12,1.5,2.5,129,13.82,0.10713178294573644,0.5581395348837209,2.0179844961240314,3,3,0.070625
OU25,Greece Super League,TUTTI,0.09,1.5,4.0,262,28.000000000000004,0.1068702290076336,0.5229007633587787,2.1639694656488553,3,3,0.001927710843373469
OU25,Greece Super League,TUTTI,0.09,1.8,4.0,238,25.38,0.10663865546218487,0.5084033613445378,2.2126470588235296,3,3,0.022439024390243895
OU25,Greece Super League,OVER25,0.03,1.5,2.5,317,33.58,0.10593059936908517,0.5362776025236593,2.081293375394322,3,3,0.01666666666666665
OU25,Greece Super League,TUTTI,0.12,1.8,4.0,160,16.919999999999998,0.10574999999999998,0.50625,2.2342500000000003,3,3,0.007169811320754715
