date,league,home_team,away_team,result,selection,model_probability,market_probability,edge,fair_odds,reference_odds,odds_source,profit_units
2025-09-14,Serie A,Milan,Bologna,H,A,0.30454056620119546,0.2326400679117147,0.07190049828948075,3.2836347960926413,4.04,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Serie A,Roma,Torino,A,D,0.29993159458547286,0.231721753899336,0.06820984068613686,3.334093566841707,4.08,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-14,Serie A,Sassuolo,Lazio,H,A,0.6254887112778527,0.4610303830911492,0.16445832818670347,1.5987498766477068,2.04,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-15,La Liga,Espanol,Mallorca,H,D,0.36701282822327336,0.2910946517588967,0.07591817646437665,2.724700400367605,3.22,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-15,Serie A,Como,Genoa,D,A,0.24652664773815525,0.1709920895759196,0.07553455816223564,4.056356621788553,5.5,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-15,Serie A,Verona,Cremonese,D,D,0.3506734586263688,0.3004705519029314,0.05020290672343736,2.8516557937322187,3.13,Media mercato riportata da Football-Data.co.uk,2.13
2025-09-19,La Liga,Betis,Sociedad,H,A,0.32269484067983734,0.2484800801087189,0.07421476057111845,3.0989029694222876,3.8,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-19,Serie A,Lecce,Cagliari,A,A,0.4224583724989248,0.3388133188683969,0.08364505363052793,2.3670971274277326,2.78,Media mercato riportata da Football-Data.co.uk,1.7799999999999998
2025-09-20,Bundesliga,Augsburg,Mainz,A,A,0.5422005859412264,0.3673607780221962,0.17483980791903025,1.8443358895750035,2.55,Media mercato riportata da Football-Data.co.uk,1.5499999999999998
2025-09-20,Bundesliga,RB Leipzig,FC Koln,H,D,0.28520696347490365,0.226481666195233,0.05872529727967066,3.5062257520510838,4.15,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Bundesliga,Werder Bremen,Freiburg,A,A,0.5232883329212304,0.3441938550537025,0.17909447786752797,1.9109923479806075,2.72,Media mercato riportata da Football-Data.co.uk,1.7200000000000002
2025-09-20,La Liga,Alaves,Sevilla,A,A,0.3682253368949615,0.2866715560738861,0.0815537808210754,2.715728386407196,3.29,Media mercato riportata da Football-Data.co.uk,2.29
2025-09-20,La Liga,Girona,Levante,A,D,0.33754591123826005,0.2697409623420599,0.06780494889620015,2.9625599561599794,3.51,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Ligue 1,Brest,Nice,H,D,0.3587380672564742,0.2674797508675293,0.09125831638894494,2.7875491654613436,3.51,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Ligue 1,Lens,Lille,H,A,0.40882300912454883,0.3352337514253136,0.07358925769923524,2.446046278416164,2.8,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Ligue 1,Nantes,Rennes,D,A,0.5726037391417118,0.4439965751684071,0.12860716397330468,1.746408435087975,2.11,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Premier League,Brighton,Tottenham,D,A,0.4288859312086322,0.3160198424277794,0.1128660887808528,2.331622296823601,3.0,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Premier League,Burnley,Nott'm Forest,D,A,0.5552388769216133,0.435598162695329,0.1196407142262843,1.8010266239717514,2.18,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Premier League,Man United,Chelsea,H,D,0.31164188108016405,0.2571248820383769,0.05451699904178714,3.2088113334894444,3.69,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Premier League,West Ham,Crystal Palace,A,A,0.4939359756915615,0.3998945627950444,0.09404141289651713,2.02455388798092,2.37,Media mercato riportata da Football-Data.co.uk,1.37
2025-09-20,Premier League,Wolves,Leeds,A,A,0.4370487403337687,0.3456254045241158,0.09142333580965295,2.288074321496299,2.74,Media mercato riportata da Football-Data.co.uk,1.7400000000000002
2025-09-20,Serie A,Bologna,Genoa,H,D,0.3543368898583505,0.2854236932243205,0.06891319663403,2.822172990229043,3.3,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-20,Serie A,Udinese,Milan,A,A,0.6144185433993585,0.5175775271374414,0.0968410162619171,1.627555044916706,1.82,Media mercato riportata da Football-Data.co.uk,0.8200000000000001
2025-09-20,Serie A,Verona,Juventus,D,A,0.701408305307188,0.6093626346867962,0.09204567062039182,1.425703106783204,1.55,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-21,Bundesliga,Dortmund,Wolfsburg,H,A,0.2869761117740398,0.1624286577115219,0.12454745406251791,3.484610596394808,5.78,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-21,Bundesliga,Ein Frankfurt,Union Berlin,A,A,0.24376919180967743,0.1774877379665807,0.06628145384309672,4.1022411100281655,5.27,Media mercato riportata da Football-Data.co.uk,4.27
2025-09-21,Bundesliga,Leverkusen,M'gladbach,D,D,0.3135051267709232,0.2075410177808305,0.10596410899009268,3.189740500577828,4.52,Media mercato riportata da Football-Data.co.uk,3.5199999999999996
2025-09-21,La Liga,Barcelona,Getafe,H,A,0.15393248056988137,0.0790999477795988,0.07483253279028257,6.4963547413635405,11.89,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-21,La Liga,Mallorca,Ath Madrid,D,A,0.6661508564593284,0.5462622539577857,0.11988860250154265,1.501161471614883,1.72,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-21,La Liga,Vallecano,Celta,D,A,0.45762240657257064,0.3035529029817045,0.15406950359086613,2.18520768571986,3.09,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-21,Ligue 1,Auxerre,Toulouse,H,A,0.5153084461987982,0.3562841530054645,0.15902429319333372,1.9405853084236369,2.63,Media mercato riportata da Football-Data.co.uk,-1.0
2025-09-21,Ligue 1,Le Havre,Lorient,D,A,0.484371685968282,0.307510225113523,0.176861460854759,2.0645302542838615,3.05,Media mercato riportata da Football-Data.co.uk,-1.0
