league,selection,min_edge,season,bets,profit_units,roi,hit_rate,avg_odds
Ligue 1,TUTTI,0.03,2122,229,-12.79,-0.055851528384279474,0.4759825327510917,2.0417903930131005
Ligue 1,TUTTI,0.03,2223,266,-22.1,-0.0830827067669173,0.4774436090225564,2.00390977443609
Ligue 1,TUTTI,0.03,2324,242,1.1699999999999982,0.004834710743801645,0.5206611570247934,1.9714462809917357
Ligue 1,TUTTI,0.03,2425,237,-27.060000000000002,-0.11417721518987342,0.45569620253164556,2.053713080168776
Ligue 1,TUTTI,0.03,2526,221,-13.66,-0.06180995475113122,0.4796380090497738,2.030995475113122
TUTTI,OVER25,0.03,TOTALE,3225,-176.66000000000003,-0.054778294573643416,0.5141085271317829,1.8907007751937985
TUTTI,OVER25,0.03,2122,450,-12.670000000000002,-0.02815555555555556,0.5155555555555555,1.9094666666666666
TUTTI,OVER25,0.03,2223,655,-49.57000000000001,-0.07567938931297712,0.5053435114503817,1.874534351145038
TUTTI,OVER25,0.03,2324,708,-35.87,-0.0506638418079096,0.5324858757062146,1.8532768361581922
TUTTI,OVER25,0.03,2425,723,-45.07000000000001,-0.062337482710926706,0.5076071922544951,1.9082987551867217
TUTTI,OVER25,0.03,2526,689,-33.47999999999999,-0.04859216255442669,0.5094339622641509,1.9138026124818577
TUTTI,UNDER25,0.03,TOTALE,3181,-156.06,-0.049060044011317194,0.4602326312480352,2.1789751650424396
TUTTI,UNDER25,0.03,2122,591,-17.72,-0.02998307952622673,0.4686971235194585,2.162504230118443
TUTTI,UNDER25,0.03,2223,683,-31.119999999999997,-0.04556368960468521,0.47291361639824303,2.105212298682284
TUTTI,UNDER25,0.03,2324,634,-44.580000000000005,-0.07031545741324922,0.45110410094637227,2.205946372239748
TUTTI,UNDER25,0.03,2425,612,-33.8,-0.05522875816993464,0.4444444444444444,2.2811764705882354
TUTTI,UNDER25,0.03,2526,661,-28.84,-0.04363086232980333,0.4629349470499244,2.149425113464448
TUTTI,TUTTI,0.03,TOTALE,6406,-332.72,-0.051938807368092414,0.48735560412113643,2.0338479550421478
TUTTI,TUTTI,0.03,2122,1041,-30.39,-0.029193083573487034,0.48895292987512007,2.0531219980787707
TUTTI,TUTTI,0.03,2223,1338,-80.69,-0.060306427503736916,0.48878923766816146,1.9922869955156952
TUTTI,TUTTI,0.03,2324,1342,-80.45,-0.05994783904619971,0.4940387481371088,2.019888226527571
TUTTI,TUTTI,0.03,2425,1335,-78.87,-0.05907865168539326,0.4786516853932584,2.0792359550561796
TUTTI,TUTTI,0.03,2526,1350,-62.32000000000001,-0.04616296296296297,0.4866666666666667,2.0291703703703705
Premier League,OVER25,0.05,TOTALE,576,-52.39,-0.09095486111111112,0.5208333333333334,1.7622569444444445
Premier League,OVER25,0.05,2122,82,-1.0700000000000016,-0.013048780487804898,0.524390243902439,1.8991463414634144
Premier League,OVER25,0.05,2223,114,-16.26,-0.14263157894736844,0.4824561403508772,1.7994736842105261
Premier League,OVER25,0.05,2324,161,-7.450000000000001,-0.046273291925465844,0.577639751552795,1.679565217391304
Premier League,OVER25,0.05,2425,105,-20.29,-0.19323809523809524,0.47619047619047616,1.7054285714285713
Premier League,OVER25,0.05,2526,114,-7.3199999999999985,-0.06421052631578945,0.5175438596491229,1.7957017543859648
Premier League,UNDER25,0.05,TOTALE,529,-52.669999999999995,-0.09956521739130433,0.4007561436672968,2.3299810964083174
Premier League,UNDER25,0.05,2122,80,-7.470000000000001,-0.09337500000000001,0.425,2.2185
Premier League,UNDER25,0.05,2223,117,-1.56,-0.013333333333333334,0.48717948717948717,2.121965811965812
Premier League,UNDER25,0.05,2324,76,-21.12,-0.27789473684210525,0.27631578947368424,2.659473684210526
Premier League,UNDER25,0.05,2425,123,-1.1399999999999966,-0.009268292682926801,0.3983739837398374,2.5303252032520325
Premier League,UNDER25,0.05,2526,133,-21.380000000000003,-0.16075187969924815,0.38345864661654133,2.2064661654135342
Premier League,TUTTI,0.05,TOTALE,1105,-105.06,-0.09507692307692307,0.4633484162895928,2.0340452488687784
Premier League,TUTTI,0.05,2122,162,-8.540000000000003,-0.05271604938271607,0.47530864197530864,2.056851851851852
Premier League,TUTTI,0.05,2223,231,-17.82,-0.07714285714285714,0.48484848484848486,1.9628138528138526
Premier League,TUTTI,0.05,2324,237,-28.570000000000004,-0.12054852320675107,0.4810126582278481,1.9937974683544302
Premier League,TUTTI,0.05,2425,228,-21.43,-0.09399122807017543,0.4342105263157895,2.1504385964912283
Premier League,TUTTI,0.05,2526,247,-28.7,-0.11619433198380566,0.44534412955465585,2.0168825910931174
Serie A,OVER25,0.05,TOTALE,535,-9.11,-0.01702803738317757,0.502803738317757,2.000411214953271
Serie A,OVER25,0.05,2122,85,-1.9599999999999984,-0.023058823529411746,0.5764705882352941,1.7256470588235295
Serie A,OVER25,0.05,2223,81,-13.540000000000003,-0.16716049382716053,0.4444444444444444,1.9162962962962964
